fitness,speed
8189.858000000002,0.4
5549.607999999999,0.6
4202.2339999999995,0.8
3201.29,1.0
2843.69,1.2
2563.818,1.4
2162.2380000000003,1.6
2002.78,1.8
1573.724,2.0
1744.2460000000003,2.2
1603.874,2.4
1467.76,2.6
1395.666,2.8
1343.768,3.0
1357.8819999999998,3.2
1255.364,3.4
1237.544,3.6
1121.3580000000002,3.8
1104.894,4.0
1208.8580000000002,4.2
1088.9759999999999,4.4
1036.824,4.6
1006.79,4.8
797.3280000000001,5.0
1054.33,5.2
984.7560000000001,5.4
931.5,5.6
939.1560000000002,5.8
959.1599999999999,6.0
948.2279999999998,6.2
909.582,6.4
903.508,6.6
895.7060000000001,6.8
603.496,7.0
870.836,7.2
930.814,7.4
858.1700000000001,7.6
854.95,7.8
677.574,8.0
899.0840000000001,8.2
827.186,8.4
949.4,8.6
781.484,8.8
796.8280000000001,9.0
869.558,9.2
762.562,9.4
836.586,9.6
758.764,9.8
603.294,10.0
747.51,10.2
788.0139999999999,10.4
835.7860000000001,10.6
842.0780000000001,10.8
561.35,11.0
821.01,11.2
800.868,11.4
777.014,11.6
767.71,11.8
811.158,12.0
758.0,12.2
746.534,12.4
753.8820000000001,12.6
706.208,12.8
482.912,13.0
828.7040000000001,13.2
669.5459999999999,13.4
761.53,13.6
744.7760000000001,13.8
522.302,14.0
773.3880000000001,14.2
648.0319999999999,14.4
844.982,14.6
771.3620000000001,14.8
722.432,15.0
748.3280000000001,15.2
718.232,15.4
737.694,15.6
789.324,15.8
553.804,16.0
751.2439999999999,16.2
721.176,16.4
662.24,16.6
747.738,16.8
493.62399999999997,17.0
737.36,17.2
675.6220000000001,17.4
693.194,17.6
703.712,17.8
678.26,18.0
770.544,18.2
700.0260000000001,18.4
729.8320000000001,18.6
768.14,18.8
464.51000000000005,19.0
637.37,19.2
648.862,19.4
660.6659999999999,19.6
733.4300000000001,19.8
546.2540000000001,20.0
634.678,20.2
749.9559999999999,20.4
634.74,20.6
618.7339999999999,20.8
677.066,21.0
715.8499999999999,21.2
637.444,21.4
671.838,21.6
631.4039999999999,21.8
489.828,22.0
698.046,22.2
624.2139999999999,22.4
690.0699999999999,22.6
724.072,22.8
478.65200000000004,23.0
654.3619999999999,23.2
677.78,23.4
699.7439999999999,23.6
623.6659999999999,23.8
662.908,24.0
735.672,24.2
613.79,24.4
695.208,24.6
624.3019999999999,24.8
442.65200000000004,25.0
689.5699999999999,25.2
710.4039999999999,25.4
658.544,25.6
651.908,25.8
254.746,26.0
695.79,26.2
638.706,26.4
643.8840000000001,26.6
678.058,26.8
726.4060000000002,27.0
684.762,27.2
658.9939999999999,27.4
690.704,27.6
718.5260000000001,27.8
603.1460000000001,28.0
652.248,28.2
733.6659999999999,28.4
698.8019999999999,28.6
651.754,28.8
322.508,29.0
690.734,29.2
653.582,29.4
605.914,29.6
716.2520000000001,29.8
656.8,30.0
