fitness,distance
155.532,2.0
163.41799999999998,2.2
202.42800000000003,2.4
206.72599999999997,2.6
243.752,2.8
305.17199999999997,3.0
308.922,3.2
287.93399999999997,3.4
211.59,3.6
393.79200000000003,3.8
395.994,4.0
263.398,4.2
318.564,4.4
280.578,4.6
491.0799999999999,4.8
394.196,5.0
452.63199999999995,5.2
388.586,5.4
466.59,5.6
478.57399999999996,5.8
459.258,6.0
444.37199999999996,6.2
458.2780000000001,6.4
490.09799999999996,6.6
571.318,6.8
665.162,7.0
714.166,7.2
758.344,7.4
662.176,7.6
673.75,7.8
727.064,8.0
690.5719999999999,8.2
694.86,8.4
683.356,8.6
661.532,8.8
664.166,9.0
682.256,9.2
650.74,9.4
656.6279999999999,9.6
680.572,9.8
714.26,10.0
730.1719999999999,10.2
604.896,10.4
742.1020000000001,10.6
639.492,10.8
739.2819999999999,11.0
689.12,11.2
675.846,11.4
734.108,11.6
362.016,11.8
267.82800000000003,12.0
285.05,12.2
201.836,12.4
323.784,12.6
367.41999999999996,12.8
491.662,13.0
450.808,13.2
354.56800000000004,13.4
395.23,13.6
310.91999999999996,13.8
413.706,14.0
244.82199999999997,14.2
377.32399999999996,14.4
370.79,14.6
440.334,14.8
418.446,15.0
460.98400000000004,15.2
500.26399999999995,15.4
530.894,15.6
519.6,15.8
485.08399999999995,16.0
455.424,16.2
506.2780000000001,16.4
461.302,16.6
477.95200000000006,16.8
524.8199999999999,17.0
486.59799999999996,17.2
484.91400000000004,17.4
497.698,17.6
501.188,17.8
534.126,18.0
500.40999999999997,18.2
451.408,18.4
517.5980000000001,18.6
529.062,18.8
486.66999999999996,19.0
533.3480000000001,19.2
508.976,19.4
503.89,19.6
505.162,19.8
564.954,20.0
467.62399999999997,20.2
491.59,20.4
565.2459999999999,20.6
539.234,20.8
560.574,21.0
556.878,21.2
443.034,21.4
531.6320000000001,21.6
543.38,21.8
527.242,22.0
530.258,22.2
496.8999999999999,22.4
491.70200000000006,22.6
497.03599999999994,22.8
550.9019999999999,23.0
580.142,23.2
496.918,23.4
492.308,23.6
537.676,23.8
564.242,24.0
496.822,24.2
536.976,24.4
563.7919999999999,24.6
519.7280000000001,24.8
502.552,25.0
558.282,25.2
518.788,25.4
581.7479999999999,25.6
594.0640000000001,25.8
513.354,26.0
517.1899999999999,26.2
559.736,26.4
565.6560000000002,26.6
533.376,26.8
523.258,27.0
564.202,27.2
515.8199999999999,27.4
614.72,27.6
512.312,27.8
467.616,28.0
569.992,28.2
528.9860000000001,28.4
490.01000000000005,28.6
537.272,28.8
555.088,29.0
492.38,29.2
586.966,29.4
526.7639999999999,29.6
525.602,29.8
514.588,30.0
547.1679999999999,30.2
505.782,30.4
539.3779999999999,30.6
574.9100000000001,30.8
531.106,31.0
544.0139999999999,31.2
560.004,31.4
537.576,31.6
520.486,31.8
476.43199999999996,32.0
503.97799999999995,32.2
552.1659999999999,32.4
542.452,32.6
569.748,32.8
488.158,33.0
493.38800000000003,33.2
562.6720000000001,33.4
577.81,33.6
506.57,33.8
532.8039999999999,34.0
498.512,34.2
561.6400000000001,34.4
555.758,34.6
506.934,34.8
479.436,35.0
579.1600000000001,35.2
521.728,35.4
489.04200000000003,35.6
523.186,35.8
516.632,36.0
600.7639999999999,36.2
607.17,36.4
585.748,36.6
535.1759999999999,36.8
534.804,37.0
592.25,37.2
566.09,37.4
550.0559999999999,37.6
582.826,37.8
575.414,38.0
600.31,38.2
573.5319999999999,38.4
624.3860000000001,38.6
606.006,38.8
586.068,39.0
486.508,39.2
592.518,39.4
582.46,39.6
615.218,39.8
555.158,40.0
573.07,40.2
537.528,40.4
588.294,40.6
582.894,40.8
587.312,41.0
597.408,41.2
621.184,41.4
623.5939999999999,41.6
599.406,41.8
614.522,42.0
621.052,42.2
599.5260000000001,42.4
608.544,42.6
600.138,42.8
582.716,43.0
500.60200000000003,43.2
521.2180000000001,43.4
517.292,43.6
574.686,43.8
491.038,44.0
573.76,44.2
565.242,44.4
558.534,44.6
529.11,44.8
581.2539999999999,45.0
561.968,45.2
569.514,45.4
597.668,45.6
610.37,45.8
550.624,46.0
591.344,46.2
582.4440000000001,46.4
595.4,46.6
547.384,46.8
634.4060000000001,47.0
569.824,47.2
484.566,47.4
606.226,47.6
560.7379999999999,47.8
541.39,48.0
563.178,48.2
656.614,48.4
564.844,48.6
585.818,48.8
618.936,49.0
568.99,49.2
610.1919999999999,49.4
538.046,49.6
578.908,49.8
611.058,50.0
