fitness,speed
1260.7599999999998,5.0
1637.982,5.2
1667.554,5.4
1640.2600000000002,5.6
1507.728,5.8
1532.114,6.0
1508.748,6.2
1486.223,6.4
1524.4329999999998,6.6
1496.584,6.8
984.359,7.0
1570.655,7.2
1543.034,7.4
1471.225,7.6
1560.9740000000002,7.8
1168.983,8.0
1495.184,8.2
1539.154,8.4
1433.325,8.6
1333.605,8.8
1370.517,9.0
1440.625,9.2
1471.112,9.4
1324.443,9.6
1430.185,9.8
951.4540000000001,10.0
1460.763,10.2
1357.981,10.4
1447.6599999999999,10.6
1518.4109999999998,10.8
931.155,11.0
1375.5400000000002,11.2
1415.586,11.4
1463.873,11.6
1363.926,11.8
1361.959,12.0
1400.779,12.2
1309.518,12.4
1318.428,12.6
1340.1150000000002,12.8
1000.558,13.0
1372.489,13.2
1332.705,13.4
1273.1680000000001,13.6
1475.0629999999999,13.8
899.067,14.0
1286.697,14.2
1326.183,14.4
1347.778,14.6
1348.248,14.8
1389.408,15.0
1353.566,15.2
1347.595,15.4
1310.357,15.6
1351.107,15.8
1099.158,16.0
1264.2780000000002,16.2
1287.585,16.4
1330.3100000000002,16.6
1432.069,16.8
1035.494,17.0
1407.518,17.2
1351.728,17.4
1413.187,17.6
1289.8470000000002,17.8
1286.3020000000001,18.0
1271.16,18.2
1271.658,18.4
1238.466,18.6
1338.9470000000001,18.8
1105.2109999999998,19.0
1340.536,19.2
1344.1460000000002,19.4
1320.5049999999999,19.6
1316.2019999999998,19.8
1079.1290000000001,20.0
1374.522,20.2
1223.296,20.4
1359.067,20.6
1177.5049999999999,20.8
1346.049,21.0
1196.7400000000002,21.2
1314.8259999999998,21.4
1341.029,21.6
1274.822,21.8
1080.813,22.0
1301.318,22.2
1351.2540000000001,22.4
1310.662,22.6
1283.3340000000003,22.8
991.704,23.0
1168.392,23.2
1328.8229999999999,23.4
1247.651,23.6
1301.956,23.8
1237.9850000000001,24.0
1346.4470000000001,24.2
1266.336,24.4
1339.688,24.6
1249.712,24.8
1019.3430000000001,25.0
1298.491,25.2
1342.606,25.4
1338.962,25.6
1302.65,25.8
403.091,26.0
1260.2289999999998,26.2
1305.2830000000001,26.4
1385.3880000000001,26.6
1315.9940000000001,26.8
1404.726,27.0
1272.451,27.2
1329.145,27.4
1240.0149999999999,27.6
1280.373,27.8
1298.4279999999999,28.0
1325.855,28.2
1319.155,28.4
1266.2220000000002,28.6
1220.1280000000002,28.8
408.684,29.0
1223.989,29.2
1256.1680000000001,29.4
1381.807,29.6
1235.71,29.8
1147.118,30.0
