finess,speed
706.476,5
1025.774,5.2
1027.042,5.4
1018.094,5.6
947.99,5.8
945.576,6
939.066,6.2
966.448,6.4
871.846,6.6
873.456,6.8
647.096,7
885.47,7.2
834.518,7.4
917.668,7.6
811.602,7.8
692.658,8
844.118,8.2
714.254,8.4
832.444,8.6
857.676,8.8
839.888,9
820.948,9.2
820.434,9.4
765.844,9.6
849.404,9.8
577.356,10
825.948,10.2
829.95,10.4
754.546,10.6
813.96,10.8
583.98,11
779.13,11.2
792.818,11.4
802.746,11.6
868.782,11.8
789.058,12
786.082,12.2
755.062,12.4
805.36,12.6
818.534,12.8
578.416,13
767.698,13.2
702.774,13.4
649.044,13.6
669.59,13.8
478.14,14
799.972,14.2
729.184,14.4
760.178,14.6
735.046,14.8
804.986,15
714.092,15.2
755.992,15.4
723.182,15.6
811.712,15.8
575.502,16
706.774,16.2
691.828,16.4
749.408,16.6
758.868,16.8
412.66,17
744.932,17.2
747.424,17.4
775.53,17.6
712.636,17.8
670.866,18
662.862,18.2
684.182,18.4
722.122,18.6
688.018,18.8
470.206,19
794.514,19.2
742.472,19.4
612.28,19.6
686.54,19.8
456.294,20
692.13,20.2
674.502,20.4
747.188,20.6
731.288,20.8
673.464,21
715.062,21.2
712.06,21.4
692.906,21.6
696.006,21.8
441.376,22
677.754,22.2
585.272,22.4
639.752,22.6
710.136,22.8
462.33,23
646.126,23.2
625.708,23.4
678.122,23.6
585.328,23.8
681.068,24
662,24.2
678.838,24.4
703.862,24.6
653.052,24.8
522.636,25
674.854,25.2
679.13,25.4
684.604,25.6
689.82,25.8
448.46,26
780.362,26.2
667.534,26.4
720.724,26.6
739.982,26.8
675.226,27
737.016,27.2
685.232,27.4
737.234,27.6
673.336,27.8
488.326,28
730.952,28.2
706.91,28.4
611.322,28.6
646.834,28.8
409.436,29
707.606,29.2
724.742,29.4
638.042,29.6
665.35,29.8
728.88,30
