fitness,speed
7065.442,0.4
4672.505999999999,0.6
3625.4440000000004,0.8
2707.154,1.0
2464.52,1.2
2192.654,1.4
1960.914,1.6
1679.318,1.8
1325.31,2.0
1558.984,2.2
1517.5859999999998,2.4
1397.1280000000002,2.6
1343.6000000000001,2.8
1245.806,3.0
1262.408,3.2
1199.402,3.4
1158.094,3.6
1084.922,3.8
1098.992,4.0
1096.0,4.2
1095.388,4.4
1034.464,4.6
988.2060000000001,4.8
751.2360000000001,5.0
971.8120000000001,5.2
974.402,5.4
976.3520000000001,5.6
966.316,5.8
956.3059999999999,6.0
829.6619999999999,6.2
904.332,6.4
883.734,6.6
872.394,6.8
657.4739999999999,7.0
857.066,7.2
938.6659999999999,7.4
856.1039999999999,7.6
799.006,7.8
681.9460000000001,8.0
774.612,8.2
825.72,8.4
848.8539999999999,8.6
867.7479999999999,8.8
813.6119999999999,9.0
796.896,9.2
813.318,9.4
790.3840000000001,9.6
772.862,9.8
625.0840000000001,10.0
830.3399999999999,10.2
709.202,10.4
798.9780000000001,10.6
805.344,10.8
548.678,11.0
763.154,11.2
806.28,11.4
841.394,11.6
767.034,11.8
764.74,12.0
804.1460000000001,12.2
725.148,12.4
799.2919999999999,12.6
705.99,12.8
543.3779999999999,13.0
713.46,13.2
783.222,13.4
803.348,13.6
731.5840000000001,13.8
547.6720000000001,14.0
752.8720000000001,14.2
740.8779999999999,14.4
736.622,14.6
760.32,14.8
751.926,15.0
695.266,15.2
704.604,15.4
745.962,15.6
758.24,15.8
674.4399999999999,16.0
768.864,16.2
695.1940000000001,16.4
754.426,16.6
709.702,16.8
671.2460000000001,17.0
685.214,17.2
732.336,17.4
711.612,17.6
785.8039999999999,17.8
712.86,18.0
682.6020000000001,18.2
761.2639999999999,18.4
711.806,18.6
688.324,18.8
712.54,19.0
706.72,19.2
749.352,19.4
753.8919999999999,19.6
701.904,19.8
746.068,20.0
735.6220000000001,20.2
687.5,20.4
731.384,20.6
737.452,20.8
693.066,21.0
679.3100000000001,21.2
688.124,21.4
706.72,21.6
668.8220000000001,21.8
260.412,22.0
662.016,22.2
615.952,22.4
687.304,22.6
711.808,22.8
161.074,23.0
677.278,23.2
656.926,23.4
670.528,23.6
710.898,23.8
681.5139999999999,24.0
682.624,24.2
742.9060000000001,24.4
629.482,24.6
686.6859999999999,24.8
179.51600000000002,25.0
732.3340000000001,25.2
662.95,25.4
580.8820000000001,25.6
667.598,25.8
649.65,26.0
752.7320000000001,26.2
569.74,26.4
668.5020000000001,26.6
702.0699999999999,26.8
678.6080000000001,27.0
689.862,27.2
676.23,27.4
705.5939999999999,27.6
675.64,27.8
460.73400000000004,28.0
737.3299999999999,28.2
651.836,28.4
715.542,28.6
641.9559999999999,28.8
507.0840000000001,29.0
730.734,29.2
687.13,29.4
713.818,29.6
654.3879999999999,29.8
574.542,30.0
