fitness,distance
252.708,2.0
194.55699999999996,2.2
239.02000000000004,2.4
223.461,2.6
230.358,2.8
342.904,3.0
376.534,3.2
373.028,3.4
508.7550000000001,3.6
467.08000000000004,3.8
404.017,4.0
609.02,4.2
576.7,4.4
615.542,4.6
970.8119999999999,4.8
797.71,5.0
922.376,5.2
905.2019999999999,5.4
790.941,5.6
824.78,5.8
788.932,6.0
794.117,6.2
807.738,6.4
855.573,6.6
802.559,6.8
1314.1240000000003,7.0
1351.001,7.2
1301.929,7.4
1258.8300000000002,7.6
1301.846,7.8
1254.1789999999999,8.0
1345.304,8.2
1304.1180000000002,8.4
1244.123,8.6
1331.426,8.8
1335.28,9.0
1303.6950000000002,9.2
1279.236,9.4
1334.3429999999998,9.6
1325.975,9.8
1287.296,10.0
1272.3110000000001,10.2
1285.771,10.4
1280.194,10.6
1231.993,10.8
1246.7459999999999,11.0
1223.5430000000001,11.2
1282.428,11.4
1331.295,11.6
255.613,11.8
704.6030000000001,12.0
244.53799999999995,12.2
460.575,12.4
502.36199999999997,12.6
884.833,12.8
693.615,13.0
510.30999999999995,13.2
330.144,13.4
716.4950000000001,13.6
542.67,13.8
513.8770000000001,14.0
562.344,14.2
331.899,14.4
348.062,14.6
959.649,14.8
1061.7140000000002,15.0
971.6389999999999,15.2
1003.2720000000002,15.4
974.8470000000001,15.6
1093.3210000000001,15.8
915.1719999999999,16.0
937.266,16.2
958.1,16.4
979.443,16.6
971.463,16.8
947.2479999999999,17.0
1005.1190000000003,17.2
986.655,17.4
996.3950000000001,17.6
1041.41,17.8
932.576,18.0
1043.022,18.2
971.622,18.4
1052.2759999999998,18.6
1025.584,18.8
1028.65,19.0
978.3799999999999,19.2
1028.511,19.4
1075.569,19.6
1104.602,19.8
1113.2580000000003,20.0
1144.94,20.2
1041.5330000000001,20.4
1025.0700000000002,20.6
1148.193,20.8
1105.9850000000001,21.0
995.9129999999999,21.2
1116.6070000000002,21.4
1128.5359999999998,21.6
1123.952,21.8
1015.9179999999999,22.0
973.805,22.2
1124.9329999999998,22.4
1190.792,22.6
1006.4830000000002,22.8
1076.5610000000001,23.0
1072.0810000000001,23.2
1121.3639999999998,23.4
1076.045,23.6
1081.3480000000002,23.8
1056.014,24.0
1075.2,24.2
1172.286,24.4
1145.048,24.6
1100.417,24.8
1053.1529999999998,25.0
1060.943,25.2
1013.2880000000001,25.4
1102.852,25.6
1128.1200000000001,25.8
1197.511,26.0
1087.894,26.2
1097.0710000000001,26.4
1171.3490000000002,26.6
1088.9550000000002,26.8
1191.034,27.0
1066.317,27.2
1121.91,27.4
1060.5310000000002,27.6
1058.1209999999999,27.8
1080.608,28.0
1021.1360000000001,28.2
1031.5810000000001,28.4
977.1279999999999,28.6
1040.738,28.8
981.442,29.0
1020.1870000000001,29.2
1004.7169999999999,29.4
1075.0729999999999,29.6
1104.725,29.8
1147.3390000000002,30.0
1122.5729999999999,30.2
1183.5939999999998,30.4
1021.4559999999999,30.6
1090.6889999999999,30.8
1117.791,31.0
1120.2,31.2
1117.047,31.4
1123.943,31.6
1177.2969999999998,31.8
1130.0189999999998,32.0
1029.909,32.2
1092.883,32.4
1030.963,32.6
1018.8380000000001,32.8
1138.5049999999999,33.0
1106.5049999999999,33.2
1072.695,33.4
1093.532,33.6
1100.3609999999999,33.8
1179.7559999999999,34.0
1048.9720000000002,34.2
1041.993,34.4
1034.749,34.6
1189.22,34.8
1024.169,35.0
1118.718,35.2
1172.446,35.4
1138.721,35.6
1277.3659999999998,35.8
1166.0729999999999,36.0
1155.886,36.2
1198.984,36.4
1097.816,36.6
1188.5900000000001,36.8
1155.428,37.0
1168.888,37.2
1032.51,37.4
1051.159,37.6
1079.327,37.8
1108.835,38.0
1223.731,38.2
1153.094,38.4
1083.4969999999998,38.6
1198.505,38.8
1103.568,39.0
1107.3319999999999,39.2
1162.868,39.4
1145.3260000000002,39.6
1137.375,39.8
1067.909,40.0
1079.337,40.2
1051.06,40.4
1019.9399999999999,40.6
1117.673,40.8
1118.1879999999999,41.0
1148.339,41.2
1130.9579999999999,41.4
1110.819,41.6
1161.5140000000001,41.8
1234.267,42.0
1254.085,42.2
1119.263,42.4
1160.921,42.6
1226.898,42.8
1116.833,43.0
1000.4040000000001,43.2
1116.007,43.4
1045.151,43.6
1047.1439999999998,43.8
1085.111,44.0
1230.068,44.2
1032.5410000000002,44.4
1085.211,44.6
1172.7130000000002,44.8
1136.455,45.0
1142.672,45.2
1178.8520000000003,45.4
1067.197,45.6
1172.529,45.8
1051.6209999999999,46.0
1042.257,46.2
1034.8790000000001,46.4
1037.878,46.6
1149.0219999999997,46.8
1051.121,47.0
1123.345,47.2
1121.1569999999997,47.4
1100.0660000000003,47.6
1136.7050000000002,47.8
1144.762,48.0
1181.661,48.2
1172.0539999999999,48.4
1189.4080000000001,48.6
1085.094,48.8
1054.867,49.0
922.1899999999999,49.2
1096.45,49.4
1153.53,49.6
1029.708,49.8
1111.045,50.0
