fitness,distance
215.11999999999998,2.0
215.32799999999997,2.2
216.387,2.4
216.202,2.6
254.52599999999998,2.8
215.892,3.0
216.023,3.2
226.31199999999998,3.4
215.29000000000002,3.6
1186.731,3.8
1009.506,4.0
1005.074,4.2
1019.878,4.4
1074.179,4.6
903.2479999999999,4.8
909.548,5.0
922.9949999999999,5.2
920.067,5.4
903.168,5.6
948.208,5.8
1014.1940000000001,6.0
956.5129999999999,6.2
954.4399999999999,6.4
898.744,6.6
899.5480000000001,6.8
884.2,7.0
888.4509999999998,7.2
1011.051,7.4
984.4379999999999,7.6
893.707,7.8
938.3149999999999,8.0
931.914,8.2
918.856,8.4
864.115,8.6
906.394,8.8
906.6389999999999,9.0
888.6509999999998,9.2
882.969,9.4
829.5319999999999,9.6
858.1030000000001,9.8
860.5870000000001,10.0
988.693,10.2
932.126,10.4
977.39,10.6
962.993,10.8
945.655,11.0
1024.2649999999999,11.2
982.509,11.4
939.133,11.6
968.3290000000001,11.8
974.424,12.0
944.5470000000001,12.2
938.318,12.4
963.298,12.6
985.7389999999999,12.8
979.597,13.0
1046.834,13.2
1033.169,13.4
940.682,13.6
907.2859999999998,13.8
1010.7610000000001,14.0
933.6630000000001,14.2
930.7450000000001,14.4
988.369,14.6
1009.2280000000001,14.8
988.6479999999999,15.0
1031.901,15.2
955.3969999999999,15.4
948.856,15.6
1044.825,15.8
915.6299999999999,16.0
948.9739999999999,16.2
928.5,16.4
878.5699999999999,16.6
927.6800000000001,16.8
910.1779999999999,17.0
842.85,17.2
973.369,17.4
898.1629999999999,17.6
938.2869999999999,17.8
918.1850000000001,18.0
958.4109999999998,18.2
883.2280000000001,18.4
894.6970000000001,18.6
921.9069999999999,18.8
934.45,19.0
938.892,19.2
927.3,19.4
942.5740000000002,19.6
936.7939999999999,19.8
1077.69,20.0
885.1970000000001,20.2
949.3199999999999,20.4
947.1110000000001,20.6
987.5350000000001,20.8
895.329,21.0
976.9069999999999,21.2
949.426,21.4
890.829,21.6
894.6629999999999,21.8
975.5809999999999,22.0
961.283,22.2
964.75,22.4
987.003,22.6
1068.8899999999999,22.8
974.3710000000001,23.0
949.652,23.2
1028.038,23.4
982.317,23.6
977.8249999999998,23.8
929.9350000000001,24.0
977.9960000000001,24.2
1063.2,24.4
938.131,24.6
1078.932,24.8
1138.413,25.0
1015.091,25.2
951.885,25.4
1044.437,25.6
1031.883,25.8
894.8620000000001,26.0
1021.384,26.2
947.284,26.4
989.443,26.6
983.857,26.8
997.1610000000001,27.0
1024.38,27.2
971.71,27.4
1077.1580000000001,27.6
957.1220000000001,27.8
1133.17,28.0
1138.229,28.2
1048.009,28.4
944.025,28.6
1003.713,28.8
1021.8700000000001,29.0
976.9709999999999,29.2
1078.374,29.4
983.9069999999999,29.6
1105.169,29.8
1055.6309999999999,30.0
1089.063,30.2
1053.6770000000001,30.4
1129.908,30.6
994.9949999999999,30.8
1076.3560000000002,31.0
1097.063,31.2
1011.201,31.4
1025.114,31.6
986.01,31.8
1109.738,32.0
1040.943,32.2
1133.248,32.4
1058.818,32.6
1029.825,32.8
1077.196,33.0
1053.0130000000001,33.2
1088.66,33.4
1033.2140000000002,33.6
992.5650000000002,33.8
1014.6640000000001,34.0
1005.082,34.2
1015.1110000000001,34.4
1054.981,34.6
1027.833,34.8
957.083,35.0
1032.4370000000001,35.2
977.1560000000002,35.4
972.124,35.6
1046.018,35.8
1018.043,36.0
1013.934,36.2
981.3539999999999,36.4
1027.094,36.6
1021.211,36.8
1037.837,37.0
1011.9530000000001,37.2
1081.468,37.4
1023.9110000000001,37.6
1060.425,37.8
1074.406,38.0
1052.965,38.2
1023.403,38.4
981.449,38.6
1005.3150000000002,38.8
974.368,39.0
984.892,39.2
1033.209,39.4
1005.0989999999999,39.6
1046.979,39.8
1060.156,40.0
1031.799,40.2
1030.9720000000002,40.4
1015.832,40.6
1124.5690000000002,40.8
1487.475,41.0
1413.8180000000002,41.2
1509.4429999999998,41.4
1576.0149999999999,41.6
1460.386,41.8
1426.4270000000001,42.0
1564.873,42.2
1504.015,42.4
1548.26,42.6
1456.7859999999998,42.8
1555.8790000000001,43.0
1456.504,43.2
1582.158,43.4
1497.922,43.6
1188.9809999999998,43.8
1121.279,44.0
1020.1020000000001,44.2
1092.6860000000001,44.4
1075.565,44.6
1065.893,44.8
1073.722,45.0
1065.327,45.2
1057.071,45.4
1061.914,45.6
1093.807,45.8
1115.233,46.0
1056.845,46.2
995.384,46.4
1112.498,46.6
1159.328,46.8
1141.674,47.0
1157.885,47.2
1095.54,47.4
1214.998,47.6
1164.181,47.8
1085.4479999999999,48.0
1112.372,48.2
1117.807,48.4
1114.7219999999998,48.6
1101.654,48.8
988.4869999999999,49.0
1009.55,49.2
974.0199999999999,49.4
1002.4350000000001,49.6
1125.093,49.8
1100.187,50.0
